circuit,method,initial_gates,final_gates,initial_2q,final_2q,initial_t,final_t
adder_extrap_7bit,basic_opt,238,196,112,77,98,70
adder_extrap_7bit,full_reduce,238,368,112,168,98,54
adder_extrap_7bit,teleport_reduce,238,385,112,84,98,84
adder_extrap_7bit,agent_R_v2,238,196,112,77,98,70
adder_extrap_7bit,agent_P_v2,238,196,112,77,98,70
adder_extrap_7bit,agent_A_v2,238,194,112,76,98,70
adder_extrap_8bit,basic_opt,272,224,128,88,112,80
adder_extrap_8bit,full_reduce,272,419,128,193,112,61
adder_extrap_8bit,teleport_reduce,272,440,128,96,112,96
adder_extrap_8bit,agent_R_v2,272,224,128,88,112,80
adder_extrap_8bit,agent_P_v2,272,224,128,88,112,80
adder_extrap_8bit,agent_A_v2,272,222,128,87,112,80
adder_extrap_9bit,basic_opt,306,252,144,99,126,90
adder_extrap_9bit,full_reduce,306,472,144,216,126,66
adder_extrap_9bit,teleport_reduce,306,495,144,108,126,108
adder_extrap_9bit,agent_R_v2,306,252,144,99,126,90
adder_extrap_9bit,agent_P_v2,306,252,144,99,126,90
adder_extrap_9bit,agent_A_v2,306,250,144,98,126,90
paper_Adder8,basic_opt,637,506,243,243,266,222
paper_Adder8,full_reduce,637,386,243,184,266,36
paper_Adder8,teleport_reduce,637,1080,243,243,266,240
paper_Adder8,agent_R_v2,637,508,243,243,266,222
paper_Adder8,agent_P_v2,637,505,243,242,266,218
paper_Adder8,agent_A_v2,637,496,243,241,266,203
paper_QFT16_before,basic_opt,586,487,228,228,30,16
paper_QFT16_before,full_reduce,586,836,228,400,30,2
paper_QFT16_before,teleport_reduce,586,973,228,228,30,16
paper_QFT16_before,agent_R_v2,586,487,228,228,30,16
paper_QFT16_before,agent_P_v2,586,487,228,228,30,16
paper_QFT16_before,agent_A_v2,586,487,228,228,30,16
paper_QFT32_before,basic_opt,1562,1287,612,612,62,32
paper_QFT32_before,full_reduce,1562,2605,612,1475,62,2
paper_QFT32_before,teleport_reduce,1562,2573,612,612,62,32
paper_QFT32_before,agent_R_v2,1562,1287,612,612,62,32
paper_QFT32_before,agent_P_v2,1562,1287,612,612,62,32
paper_QFT32_before,agent_A_v2,1562,1287,612,612,62,32
paper_QFT8_before,basic_opt,148,127,56,56,14,8
paper_QFT8_before,full_reduce,148,245,56,115,14,1
paper_QFT8_before,teleport_reduce,148,253,56,56,14,8
paper_QFT8_before,agent_R_v2,148,127,56,56,14,8
paper_QFT8_before,agent_P_v2,148,127,56,56,14,8
paper_QFT8_before,agent_A_v2,148,127,56,56,14,8
paper_QFTAdd8,basic_opt,476,406,184,184,42,23
paper_QFTAdd8,full_reduce,476,642,184,306,42,3
paper_QFTAdd8,teleport_reduce,476,804,184,184,42,23
paper_QFTAdd8,agent_R_v2,476,401,184,183,42,23
paper_QFTAdd8,agent_P_v2,476,401,184,183,42,23
paper_QFTAdd8,agent_A_v2,476,398,184,182,42,23
paper_adder_8,basic_opt,900,822,409,385,399,343
paper_adder_8,full_reduce,900,966,409,449,399,122
paper_adder_8,teleport_reduce,900,1631,409,409,399,355
paper_adder_8,agent_R_v2,900,808,409,383,399,339
paper_adder_8,agent_P_v2,900,808,409,383,399,339
paper_adder_8,agent_A_v2,900,808,409,383,399,339
paper_barenco_tof_10,basic_opt,450,427,192,192,224,192
paper_barenco_tof_10,full_reduce,450,555,192,251,224,84
paper_barenco_tof_10,teleport_reduce,450,815,192,192,224,192
paper_barenco_tof_10,agent_R_v2,450,427,192,192,224,192
paper_barenco_tof_10,agent_P_v2,450,427,192,192,224,192
paper_barenco_tof_10,agent_A_v2,450,423,192,190,224,188
paper_barenco_tof_3,basic_opt,58,56,24,24,28,24
paper_barenco_tof_3,full_reduce,58,97,24,42,28,13
paper_barenco_tof_3,teleport_reduce,58,108,24,24,28,24
paper_barenco_tof_3,agent_R_v2,58,56,24,24,28,24
paper_barenco_tof_3,agent_P_v2,58,53,24,23,28,20
paper_barenco_tof_3,agent_A_v2,58,53,24,23,28,20
paper_barenco_tof_4,basic_opt,114,109,48,48,56,48
paper_barenco_tof_4,full_reduce,114,149,48,61,56,24
paper_barenco_tof_4,teleport_reduce,114,209,48,48,56,48
